id,title,provider,program_type,duration_weeks,prerequisites,outcomes,skill_tags,level,link,popularity_score,is_free,free_link,notes,first_project,hours_per_week,cost_estimate_usd,mode,credential
c1,Python for Everybody,Coursera,certification,4,none,"Python programming, data manipulation, scripting","python,data-manipulation,programming",beginner,https://www.coursera.org/learn/python,8,yes,https://www.coursera.org/learn/python?authMode=signup,Free audit available,Write a script that parses CSV and outputs summary stats,6,0,self-paced,certificate
c2,Intro to Data Science,edX,specialization,8,basic Python,"Exploratory Data Analysis, statistics, visualization","python,data-science,statistics",beginner,https://www.edx.org/course/data-science,7,yes,https://www.edx.org/course/data-science,Free audit available,EDA notebook on Titanic dataset,8,0,self-paced,certificate
c3,Machine Learning Specialization,Coursera,specialization,20,"Python;calculus;linear algebra","Supervised learning, model evaluation, sklearn","ml,sklearn,algorithms,statistics",intermediate,https://www.coursera.org/specializations/machine-learning,9,yes,https://www.coursera.org/specializations/machine-learning?authMode=signup,Audit available,Train a logistic regression and report metrics,10,0,self-paced,certificate
c4,Deep Learning with PyTorch,Udacity,certification,10,"Python;ML basics","Neural networks, CNNs, PyTorch training","deep-learning,pytorch,neural-networks",intermediate,https://www.udacity.com/course/deep-learning-pytorch--nd188,7,yes,https://www.udacity.com/course/deep-learning-pytorch--nd188,Free materials available,Train a small CNN on MNIST,12,0,self-paced,certificate
c5,MLOps Foundations,Coursera,certification,6,"Python;Docker","Deployment, monitoring, CI/CD for ML","mlops,docker,deployments",intermediate,https://www.coursera.org/learn/mlops-fundamentals,6,yes,https://www.coursera.org/learn/mlops-fundamentals?authMode=signup,Audit available,Containerize a small model with Docker,6,0,self-paced,certificate
c6,Full-Stack Web Development,freeCodeCamp,curated_path,12,none,"Frontend + backend + deployment, portfolio","html,css,js,react,node",beginner,https://www.freecodecamp.org/learn,9,yes,https://www.freecodecamp.org/learn,Completely free path,Create a 3-page portfolio website,10,0,self-paced,none
c7,Frontend Developer Nanodegree,Udacity,certification,12,"HTML;CSS;JS","Advanced React, UI performance","react,frontend,ui",intermediate,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,7,no,https://www.freecodecamp.org/learn,Paid nanodegree; free alternative exists,Recreate a modern landing page with interactive components,12,399,self-paced,certificate
c8,Google Data Analytics Professional Certificate,Coursera,certification,12,"Excel;basic-sql","Data cleaning, analysis, visualization","sql,excel,data-analysis,etl",beginner,https://www.coursera.org/professional-certificates/google-data-analytics,8,yes,https://www.coursera.org/professional-certificates/google-data-analytics?authMode=signup,Audit possible,End-to-end analysis and 5 charts,8,49,self-paced,certificate
c9,SQL for Data Science,Coursera,certification,4,none,"SQL queries, joins, aggregates, window functions","sql,data-manipulation,queries",beginner,https://www.coursera.org/learn/sql-for-data-science,8,yes,https://www.coursera.org/learn/sql-for-data-science?authMode=signup,Audit available,Write 5 SQL queries for business questions,6,0,self-paced,certificate
c10,Applied Data Science with Python,Coursera,specialization,16,Python,"Pandas, sklearn, viz, cleaning","pandas,sklearn,viz,data-cleaning",intermediate,https://www.coursera.org/specializations/data-science-python,8,yes,https://www.coursera.org/specializations/data-science-python?authMode=signup,Audit available,End-to-end notebook with model training,8,0,self-paced,certificate
c11,AI for Everyone,Coursera,certification,2,none,"AI concepts, product, ethics","ai-concepts,product,ethics",beginner,https://www.coursera.org/learn/ai-for-everyone,6,yes,https://www.coursera.org/learn/ai-for-everyone?authMode=signup,Free to audit,Write a 1-page AI impact summary,4,0,self-paced,certificate
c12,Cloud Fundamentals (AWS),AWS Training,certification,6,none,"Cloud basics, core services, IAM","aws,cloud-basics,iaas",beginner,https://www.aws.training,7,yes,https://www.aws.training,AWS training free tier modules,Deploy a static site on S3,6,0,self-paced,certificate
c13,Kubernetes in Action,Pluralsight,certification,6,Docker,"Kubernetes fundamentals, manifests, pods","kubernetes,containers,orchestration",intermediate,https://www.pluralsight.com/courses/kubernetes,6,no,https://kubernetes.io/docs/home/,Paid; docs free,Run an app using Minikube and kubectl commands,8,0,self-paced,certificate
c14,Natural Language Processing,Coursera,specialization,8,Python,"Text preprocessing, transformers, classification","nlp,transformers,text-preprocessing",intermediate,https://www.coursera.org/learn/nlp,7,yes,https://www.coursera.org/learn/nlp?authMode=signup,Audit available,Build a text classifier and show confusion matrix,10,0,self-paced,certificate
c15,Data Engineering Foundations,edX,certification,8,"SQL;Python","ETL, data pipelines, Airflow basics","data-pipelines,etl,airflow",intermediate,https://www.edx.org/course/data-engineering,6,yes,https://www.edx.org/course/data-engineering,Audit available,Create a small ETL pipeline script,8,0,self-paced,certificate
c16,Cybersecurity Basics,Coursera,certification,4,none,"Security foundations, threat models","security,networking,threat",beginner,https://www.coursera.org/learn/cyber-security-basics,5,yes,https://www.coursera.org/learn/cyber-security-basics?authMode=signup,Audit available,Perform a basic security checklist and report,5,0,self-paced,certificate
c17,Product Management Basics,Coursera,certification,6,none,"Product discovery, roadmaps, stakeholder mgmt","product,stakeholder,roadmap",beginner,https://www.coursera.org/learn/product-management,6,yes,https://www.coursera.org/learn/product-management?authMode=signup,Audit available,Draft a one-page product spec and KPIs,4,0,self-paced,certificate
c18,Applied Machine Learning in Production,Coursera,certification,6,"ML;MLOps basics","Deploying models, monitoring, inference","mlops,model-deployment,monitoring",advanced,https://www.coursera.org/learn/ml-production,6,no,https://www.coursera.org/learn/ml-production?authMode=signup,Advanced; audit limited,Deploy a model behind a simple API and show monitoring,8,0,self-paced,certificate
c19,Data Visualization with Tableau,Udemy,certification,4,none,"Dashboard design, storytelling, tableau public","tableau,viz,dashboards",beginner,https://www.udemy.com/course/tableau-data-visualization,7,no,https://www.tableau.com/learn/training,Paid course; free tutorials,Create a dashboard with 3 charts and narrative,6,49,self-paced,certificate
c20,Advanced SQL for Data Scientists,Mode,certification,6,"SQL basics","Window functions, performance, advanced joins","sql,advanced-queries,window-functions",intermediate,https://mode.com/sql-tutorial,5,yes,https://mode.com/sql-tutorial,Free Mode SQL tutorials,Solve 6 intermediate SQL problems and write explanations,8,0,self-paced,certificate
c21,Cloud DevOps Professional,Coursera,certification,16,"Linux;Python","CI/CD, infra as code, monitoring","devops,ci-cd,aws,kubernetes",advanced,https://www.coursera.org/professional-certificates/cloud-devops,6,no,https://www.coursera.org,Paid certs; docs free,Create a CI pipeline with GitHub Actions and Docker,10,0,self-paced,certificate
c22,Ethical AI,edX,certification,3,none,"AI ethics, governance, policy","ai-ethics,policy,governance",beginner,https://www.edx.org/course/ethics-in-ai,4,yes,https://www.edx.org/course/ethics-in-ai,Audit available,Write a brief policy memo about responsible AI,3,0,self-paced,certificate
c23,Excel to MySQL: Analytic Techniques,Coursera,specialization,16,Excel,"Excel, SQL, analytics workflows","excel,sql,analytics,data-cleaning",beginner-intermediate,https://www.coursera.org/specializations/excel-mysql,7,yes,https://www.coursera.org/specializations/excel-mysql?authMode=signup,Audit available,End-to-end: clean Excel, load to SQLite, run analysis,8,0,self-paced,certificate
c24,Software Testing and Automation,Udacity,certification,8,programming basics,"Testing frameworks, automation, QA","testing,automation,qa",intermediate,https://www.udacity.com/course/software-testing--ud973,5,yes,https://www.udacity.com/course/software-testing--ud973,Free resources available,Write unit tests for a small project and produce test report,8,0,self-paced,certificate
c25,Career Development for Tech,LinkedIn Learning,certification,2,none,"Resumes, interviewing, portfolio","interviewing,resume,portfolio",beginner,https://www.linkedin.com/learning,7,no,https://www.coursera.org/learn/career-success,Paid; free alternatives exist,Prepare a one-page resume and 3 project bullets,2,0,self-paced,certificate
c26,Computer Science BSc (Online),Open University,college_program,156,none,"Algorithms, data structures, systems, software engineering","algorithms,data-structures,systems,software",advanced,https://www.open.ac.uk/courses,6,no,https://www.open.ac.uk/courses,Full degree program (online),Build a data structures project and document design,15,5000,cohort,credit
c27,Data Science MSc (Online),UniversityX,college_program,104,"BSc in related field","Advanced ML, statistics, research methods","ml,statistics,research",advanced,https://www.masters.example.edu/data-science,6,no,https://www.masters.example.edu/data-science,Master's program â€” part-time online,Complete a capstone project with dataset and report,12,8000,cohort,credit
c28,Cybersecurity Nanodegree,Udacity,certification,20,Linux basics,"Network security, threat analysis, incident response","security,networking,incident-response",intermediate,https://www.udacity.com/course/cybersecurity-nanodegree--nd,6,no,https://www.udacity.com,Paid nanodegree; materials available,Run a vulnerability assessment and write mitigation,10,399,cohort,certificate
c29,Data Engineering Nanodegree,Udacity,certification,20,"SQL;Python","Data pipelines, Spark, Airflow, cloud infra","data-pipelines,spark,airflow,etl",intermediate,https://www.udacity.com/course/data-engineer-nanodegree--nd,6,no,https://www.udacity.com,Paid nanodegree,Build a small ETL pipeline and orchestrate with Airflow,10,399,cohort,certificate
c30,Portfolio Builder: Web & Data Projects,CuratedPaths,curated_path,8,none,"Portfolio-ready projects across web and data","portfolio,projects,web,data",beginner,https://www.curatedpaths.example/portfolio,8,yes,https://www.curatedpaths.example/portfolio,Curated set of 8 mini-projects,Complete 3 polished projects and host on GitHub,6,0,self-paced,none
c31,Intro to Cloud with GCP,Google Cloud,certification,6,none,"GCP core services, IAM, storage","gcp,cloud,storage,iam",beginner,https://cloud.google.com/training,7,yes,https://cloud.google.com/training,Free training modules,Deploy a sample web app to GCP App Engine,6,0,self-paced,certificate
c32,Data Science Bootcamp (Part-time),BootcampX,curated_path,24,Python basics,"End-to-end data science projects, mentorship","python,pandas,ml,project",intermediate,https://www.bootcampx.example,6,no,https://www.bootcampx.example,Paid bootcamp with career support,Complete 2 capstone projects and attend mock interviews,10,1999,cohort,certificate
c33,Intro to Big Data (Spark),edX,certification,6,Python,"Spark basics, distributed processing, PySpark","spark,big-data,pySpark",intermediate,https://www.edx.org/course/big-data,5,yes,https://www.edx.org/course/big-data,Audit available,Process a dataset with PySpark and show performance notes,8,0,self-paced,certificate
c34,Intro to UX Design,Coursera,certification,6,none,"User research, wireframing, prototyping","ux,design,wireframing",beginner,https://www.coursera.org/learn/ux-design,6,yes,https://www.coursera.org/learn/ux-design?authMode=signup,Audit available,Produce a 3-screen prototype and short research report,6,0,self-paced,certificate
c35,Applied NLP with Transformers,FastAI,certification,8,Python,"Transformers fine-tuning, tokenization, inference","nlp,transformers,fastai",intermediate,https://course.fast.ai,6,yes,https://course.fast.ai,Free course materials,Fine-tune a transformer on a small dataset,10,0,self-paced,certificate
c36,Edge AI & TinyML,EdgeCourse,certification,6,Python,"On-device ML, model quantization, deployment","tinyml,edge,quantization",intermediate,https://www.tinymlcourse.example,5,no,https://www.tinymlcourse.example,Paid workshop,Deploy a TinyML model to microcontroller (simulated),6,49,self-paced,certificate
c37,Intro to R for Data Science,Coursera,certification,4,none,"R syntax, ggplot, tidyverse","r,ggplot,tidyverse",beginner,https://www.coursera.org/learn/r-programming,6,yes,https://www.coursera.org/learn/r-programming?authMode=signup,Audit available,Create an R notebook showing EDA and plots,6,0,self-paced,certificate
c38,Analytics with Power BI,edX,certification,6,none,"Power BI dashboards, DAX basics","powerbi,viz,dashboards",beginner,https://www.edx.org/course/power-bi,6,no,https://www.edx.org,Paid course; free trial,Build a Power BI dashboard and publish to Power BI Public,6,49,self-paced,certificate
c39,Scala & Functional Programming,Coursera,certification,8,programming basics,"Functional programming, Scala syntax, concurrency","scala,functional,concurrency",intermediate,https://www.coursera.org,4,no,https://www.coursera.org,Paid specialization,Build a small concurrent program in Scala,8,49,self-paced,certificate
c40,Intro to Statistics for Data Science,Khan Academy,certification,6,none,"Probability, distributions, hypothesis testing","statistics,probability,testing",beginner,https://www.khanacademy.org,7,yes,https://www.khanacademy.org,Free,Complete practice problems and write a summary,6,0,self-paced,certificate
c41,Data Privacy & GDPR Basics,Coursera,certification,3,none,"Privacy principles, GDPR compliance basics","privacy,gdpr,compliance",beginner,https://www.coursera.org,5,yes,https://www.coursera.org,Audit available,Create a one-page privacy checklist for a sample app,3,0,self-paced,certificate
c42,Reinforcement Learning (Intro),edX,certification,8,linear algebra,"RL basics, policy gradients, value functions","reinforcement-learning,rl,algorithms",advanced,https://www.edx.org,4,no,https://www.edx.org,Paid,Implement a simple RL agent and show learning curve,10,99,self-paced,certificate
c43,Mobile App Dev with Flutter,Udemy,certification,10,programming basics,"Cross-platform mobile apps, state management","flutter,dart,mobile",intermediate,https://www.udemy.com,5,no,https://www.udemy.com,Paid,Build and publish a simple Flutter app to Play Store (sim),10,49,self-paced,certificate
c44,Blockchain Fundamentals,Coursera,certification,6,none,"Blockchain concepts, smart contracts basics","blockchain,smartcontracts,web3",beginner,https://www.coursera.org,4,yes,https://www.coursera.org,Audit available,Write a short explainer and simple smart contract pseudo-code,6,0,self-paced,certificate
c45,Data Ethics & Society,edX,certification,4,none,"Ethical frameworks, bias mitigation","ethics,bias,ai",beginner,https://www.edx.org,4,yes,https://www.edx.org,Audit available,Write 3 mitigation suggestions for a biased model,4,0,self-paced,certificate
c46,AI Product Strategy,ProductSchool,certification,6,product basics,"Product metrics, roadmap for AI features","product,ai,metrics",intermediate,https://www.productschool.com,4,no,https://www.productschool.com,Paid,Draft a product brief for an AI feature with KPIs,6,499,cohort,certificate
c47,Intro to Computer Vision,Coursera,certification,8,Python,"CV basics, image processing, CNNs","computer-vision,cv,cnn",intermediate,https://www.coursera.org,6,yes,https://www.coursera.org,Audit available,Train a small image classifier and show confusion matrix,10,0,self-paced,certificate
c48,Applied Time Series Analysis,edX,certification,6,statistics,"ARIMA, forecasting, evaluation","time-series,forecasting,arima",intermediate,https://www.edx.org,5,no,https://www.edx.org,Paid,Forecast a timeseries and evaluate accuracy,8,49,self-paced,certificate
c49,DataOps Basics,CuratedPaths,curated_path,8,"SQL;Python","DataOps pipelines, CI for data, testing","dataops,ci,testing",intermediate,https://www.curatedpaths.example/dataops,6,yes,https://www.curatedpaths.example/dataops,Free curated path,Set up a CI flow for a data pipeline,8,0,self-paced,none
c50,Advanced Topics in ML Research,UniversityY,college_program,52,"BSc + ML experience","Research methods, advanced ML topics, project","ml,research,advanced",advanced,https://www.universityy.example,3,no,https://www.universityy.example,Graduate-level program,Complete an original research-style capstone,12,12000,cohort,credit
c51,CS50: Introduction to Computer Science,Harvard,certification,12,none,"Fundamentals of CS and programming","algorithms,data-structures,programming",beginner,https://cs50.harvard.edu/x/2025/,9,yes,https://cs50.harvard.edu/x/2025/,Free/edX & Harvard Professional options,Complete problem sets and final project,10,0,self-paced,certificate
c52,CS231n: Deep Learning for Computer Vision,Stanford,certification,10,linear algebra,"Convolutional networks, visual recognition","computer-vision,deep-learning,advanced",advanced,https://cs231n.stanford.edu/,9,yes,https://cs231n.stanford.edu/,Lecture notes & assignments publicly available,Train a CNN on a real dataset and report,12,0,self-paced,certificate
c53,Practical Deep Learning for Coders,Fast.ai,certification,10,Python,"Practical DL workflows","fastai,pytorch,deep-learning",intermediate,https://course.fast.ai/,8,yes,https://course.fast.ai/,Free,Build & deploy a model from notebook to inference,12,0,self-paced,certificate
c54,Hugging Face: The LLM Course,Hugging Face,certification,6,Python,"Large language models, transformers, tokenizers","transformers,llm,nlp",intermediate,https://huggingface.co/learn/llm-course,8,yes,https://huggingface.co/learn/llm-course,Free community course,Fine-tune or deploy a small transformer model,10,0,self-paced,certificate
c55,IBM Data Science Professional Certificate,Coursera,certification,10,none,"Data analysis, ML basics, Python","pandas,sql,ml",beginner,https://www.coursera.org/professional-certificates/ibm-data-science,7,yes,https://www.coursera.org/professional-certificates/ibm-data-science?authMode=signup,Hands-on labs,Complete capstone with real dataset and notebook,8,0,self-paced,certificate
c56,Google Machine Learning Crash Course,Google,certification,4,none,"ML fundamentals, TensorFlow intro","ml,tf,basics",beginner,https://developers.google.com/machine-learning/crash-course,8,yes,https://developers.google.com/machine-learning/crash-course,Free interactive exercises,Complete ML exercises and model notebook,6,0,self-paced,certificate
c57,Deep Learning Specialization,deeplearning.ai,specialization,20,"Linear algebra; calculus","Neural networks, CNNs, sequence models","deep-learning,cnn,rnn",advanced,https://www.deeplearning.ai/courses/deep-learning-specialization/,9,no,https://www.coursera.org/specializations/deep-learning,Paid specialization; financial aid possible,Implement and analyze models across domains,12,49,self-paced,certificate
c58,Stanford CS224n: NLP with Deep Learning,Stanford,certification,10,"linear algebra;python","Word vectors, transformers, attention","nlp,transformers,advanced",advanced,https://web.stanford.edu/class/cs224n/,9,yes,https://web.stanford.edu/class/cs224n/,Lecture videos & notes public,Implement transformer components and a small model,12,0,self-paced,certificate
c59,Hugging Face: Course (Hands-on),Hugging Face,certification,6,Python,"Transformers, datasets, deployment","transformers,datasets,deploy",intermediate,https://huggingface.co/course/chapter1,8,yes,https://huggingface.co/course/chapter1,Free notebooks,Deploy a HF pipeline and host demo,10,0,self-paced,certificate
c60,Microsoft: Azure Data Fundamentals (DP-900),Microsoft Learn,certification,4,none,"Core data concepts, cloud data services","azure,dp-900,data",beginner,https://learn.microsoft.com/en-us/training/courses/dp-900t00,7,yes,https://learn.microsoft.com/en-us/training/courses/dp-900t00,Free Microsoft Learn modules,Complete hands-on labs on Azure sandbox,6,0,self-paced,certificate
c61,TensorFlow in Practice,deeplearning.ai,specialization,8,Python,"TensorFlow basics, model building","tensorflow,keras,deep-learning",intermediate,https://www.coursera.org/specializations/tensorflow-in-practice,7,no,https://www.coursera.org/specializations/tensorflow-in-practice,Paid; some free content,Train and save TF models and serve,10,49,self-paced,certificate
c62,FastAI: Computational Linear Algebra,Fast.ai,course,6,basic algebra,"Linear algebra for ML","linear-algebra,math,ml",intermediate,https://course.fast.ai/,6,yes,https://course.fast.ai/,Free,Notebook-based linear algebra explorations,6,0,self-paced,certificate
c63,IBM AI Engineering Professional Certificate,Coursera,specialization,12,"python;ml","Broad AI engineering skills","ml,dl,deploy",advanced,https://www.coursera.org/professional-certificates/ai-engineer,6,no,https://www.coursera.org,Paid specialization,Build and deploy small AI systems,10,49,self-paced,certificate
c64,Neural Networks and Deep Learning,Coursera (Andrew Ng),course,6,linear algebra,"Neural nets, backpropagation","deep-learning,neural-networks",beginner,https://www.coursera.org/learn/neural-networks-deep-learning,8,yes,https://www.coursera.org/learn/neural-networks-deep-learning?authMode=signup,Part of Deep Learning Specialization,Build a small neural network and analyze,8,0,self-paced,certificate
c65,CS229: Machine Learning,Stanford,course,10,"math & programming","Core ML algorithms, svm, regression","ml,theory,algorithms",advanced,https://cs229.stanford.edu/,8,yes,https://cs229.stanford.edu/,Lecture notes & assignments public,Implement algorithms and report comparisons,12,0,self-paced,certificate
c66,Hugging Face: Diffusers & Generative Models,Hugging Face,course,6,"python;ml","Diffusion models, image generation","diffusion,generative,vision",intermediate,https://huggingface.co/learn,7,yes,https://huggingface.co/learn,Free,Fine-tune a diffusion model and produce samples,10,0,self-paced,certificate
c67,Coursera: AI For Medicine Specialization,Coursera,specialization,12,"ml;probability","Medical imaging, diagnosis","ml-health,medical-ai",advanced,https://www.coursera.org/specializations/ai-for-medicine,5,no,https://www.coursera.org,Paid specialization,Work on a medical imaging pipeline project,12,49,self-paced,certificate
c68,EdX: Introduction to Computer Science and Programming Using Python,MITx,course,12,none,"Programming basics,problem solving","python,programming,algorithms",beginner,https://www.edx.org/course/introduction-to-computer-science-and-programming-7,8,yes,https://www.edx.org/course/introduction-to-computer-science-and-programming-7,Free audit,Build a Python project covering algorithms and data structures,8,0,self-paced,certificate
c69,Stanford: Convolutional Neural Networks for Visual Recognition,Stanford Online,course,10,"linear algebra;python","CNNs, visual recognition","cnn,vision,deep-learning",advanced,https://online.stanford.edu/courses/cs231n-deep-learning-computer-vision,8,yes,https://cs231n.stanford.edu/,Lecture notes public,Implement image model & training pipeline,12,0,self-paced,certificate
c70,Udacity: Data Analyst Nanodegree,Udacity,certification,20,"python;sql","Data analysis, visualization,statistical inference","pandas,sql,data-analysis",intermediate,https://www.udacity.com/course/data-analyst-nanodegree--nd002,6,no,https://www.udacity.com,Paid nanodegree,Complete capstone data analysis project,10,399,self-paced,certificate
c71,Google Cloud: Professional Data Engineer,Google Cloud,certification,12,"cloud;sql","Data pipelines, BigQuery,ML on GCP","gcp,bigquery,data-engineering",advanced,https://cloud.google.com/certification/data-engineer,6,no,https://cloud.google.com,Paid cert prep,Build a data pipeline using BigQuery and Dataflow,10,99,self-paced,certificate
c72,Codecademy: Full-Stack Engineer,Codecademy,curated_path,24,none,"Full-stack web development","js,react,node,fullstack",beginner-intermediate,https://www.codecademy.com/learn/paths/full-stack-engineer,7,no,https://www.codecademy.com,Subscription required,Ship a full-stack project with tests,10,199,self-paced,certificate
c73,Coursera: Natural Language Processing Specialization,Coursera,specialization,16,python,"NLP techniques, transformers","nlp,transformers,tokenization",intermediate,https://www.coursera.org/specializations/natural-language-processing,7,no,https://www.coursera.org,Paid specialization,Build an NLP pipeline and evaluate models,10,49,self-paced,certificate
c74,MIT OpenCourseWare: Introduction to Deep Learning,MIT,course,8,"linear algebra;python","Deep learning fundamentals","dl,neural-networks,ml",intermediate,https://ocw.mit.edu/courses/6-864-advanced-natural-language-processing-fall-2005/,6,yes,https://ocw.mit.edu,Free lecture notes and assignments,Train a model and document experiments,8,0,self-paced,certificate
c75,edX: MicroMasters in Data Science,UniversityX,program,40,"programming;math","Advanced data science topics","ml,statistics,advanced",advanced,https://www.edx.org/micromasters,5,no,https://www.edx.org,Paid MicroMasters,Complete capstone and portfolio,12,1000,cohort,credit
c76,Coursera: TensorFlow Developer Certificate Prep,Coursera,course,6,python,"TensorFlow model production","tensorflow,keras,models",intermediate,https://www.coursera.org/professional-certificates/tensorflow-in-practice,6,no,https://www.coursera.org,Prep for TF certificate,Build and deploy TF model,10,49,self-paced,certificate
c77,Udemy: The Complete JavaScript Course,Udemy,course,8,none,"JS fundamentals to advanced","js,es6,frontend",beginner-intermediate,https://www.udemy.com/course/the-complete-javascript-course,6,no,https://www.udemy.com,Paid,Create an SPA and unit tests,10,19,self-paced,certificate
c78,Coursera: Google Cloud Machine Learning Engineer,Google Cloud,certification,12,gcp,"ML infra on GCP","ml,gcp,mlops",advanced,https://cloud.google.com/certification/machine-learning-engineer,5,no,https://cloud.google.com,Certification prep,Deploy a model on GCP with monitoring,10,99,self-paced,certificate
c79,Fast.ai: Practical Deep Learning for Coders Part 2,Fast.ai,course,10,practical DL,"Foundations for generative models and diffusion","deep-learning,generative",advanced,https://course.fast.ai/,7,yes,https://course.fast.ai/,Free,Train a diffusion model and produce samples,12,0,self-paced,certificate
c80,Coursera: Data Visualization with Python,University of Michigan,course,6,python,"Data visualization, matplotlib,seaborn,plotly","viz,matplotlib,seaborn,plotly",beginner,https://www.coursera.org/learn/python-for-data-visualization,6,yes,https://www.coursera.org/learn/python-for-data-visualization?authMode=signup,Audit available,Create interactive visualizations and dashboards,6,0,self-paced,certificate
